Timestamp,Demand_MW,Wind_MW,Solar_MW,Renewable_MW,Temperature_C,WindSpeed,CloudCover,Price_p_kWh,Hour,Month,Weekend
2026-03-01 11:00:00,25771.0,3958.5,4110.0,8068.5,10.8,23.9,100,-0.414,11,3,1
2026-03-01 12:00:00,26979.5,4077.0,4002.5,8079.5,10.6,18.5,100,0.0745,12,3,1
2026-03-01 13:00:00,27497.0,4112.0,3801.5,7913.5,11.3,24.6,98,0.6015,13,3,1
2026-03-01 14:00:00,27420.5,4160.0,3403.5,7563.5,11.9,25.8,71,1.9565000000000001,14,3,1
2026-03-01 15:00:00,28286.0,4209.0,2189.5,6398.5,12.2,21.5,89,6.4990000000000006,15,3,1
2026-03-01 16:00:00,31149.5,4246.5,791.0,5037.5,12.1,21.0,100,7.608499999999999,16,3,1
2026-03-01 17:00:00,33450.5,4346.0,24.0,4370.0,11.4,21.7,100,9.3915,17,3,1
2026-03-01 18:00:00,34348.5,4541.0,0.0,4541.0,10.8,22.9,100,8.8305,18,3,1
2026-03-01 19:00:00,32223.0,4814.5,0.0,4814.5,10.4,25.4,100,7.6365,19,3,1
2026-03-01 20:00:00,29390.5,5027.5,0.0,5027.5,9.9,24.7,100,7.0344999999999995,20,3,1
2026-03-01 21:00:00,26861.0,5197.0,0.0,5197.0,10.1,24.7,100,5.869999999999999,21,3,1
2026-03-01 22:00:00,23750.0,5277.0,0.0,5277.0,9.9,25.3,100,4.2155000000000005,22,3,1
2026-03-01 23:00:00,21483.5,5296.0,0.0,5296.0,9.8,26.3,100,3.0365,23,3,1
2026-03-02 00:00:00,21623.0,5308.0,0.0,5308.0,9.4,25.3,100,2.9105,0,3,0
2026-03-02 01:00:00,21808.5,5273.0,0.0,5273.0,9.2,24.7,100,2.3695,1,3,0
2026-03-02 02:00:00,20937.0,5186.5,0.0,5186.5,9.1,24.0,100,2.2125,2,3,0
2026-03-02 03:00:00,19988.0,5016.5,0.0,5016.5,8.8,23.5,99,3.3845,3,3,0
2026-03-02 04:00:00,19935.5,4698.0,0.0,4698.0,8.2,22.2,95,4.423,4,3,0
2026-03-02 05:00:00,20971.0,4357.5,0.0,4357.5,7.9,21.5,97,7.349500000000001,5,3,0
2026-03-02 06:00:00,25085.5,4047.5,0.0,4047.5,7.6,19.6,99,8.630500000000001,6,3,0
2026-03-02 07:00:00,29454.0,3604.0,630.5,4234.5,7.6,18.8,96,9.921,7,3,0
2026-03-02 08:00:00,30606.5,3252.5,2586.0,5838.5,7.9,17.7,99,9.5375,8,3,0
2026-03-02 09:00:00,29719.5,3101.0,4772.0,7873.0,9.3,14.1,100,9.466000000000001,9,3,0
2026-03-02 10:00:00,28104.5,2993.5,7020.5,10014.0,10.5,20.5,94,8.7775,10,3,0
2026-03-02 11:00:00,27233.0,2872.5,8901.0,11773.5,11.9,24.0,83,7.246499999999999,11,3,0
2026-03-02 12:00:00,27188.0,2799.0,9362.0,12161.0,12.5,22.9,83,5.4945,12,3,0
