StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2026-03-08T11:30:00Z,APXMIDP,2026-03-08,24,128.28,1039.95
2026-03-08T11:30:00Z,N2EXMIDP,2026-03-08,24,0.0,0.0
2026-03-08T11:00:00Z,APXMIDP,2026-03-08,23,128.84,386.05
2026-03-08T11:00:00Z,N2EXMIDP,2026-03-08,23,0.0,0.0
2026-03-08T10:30:00Z,APXMIDP,2026-03-08,22,129.88,807.9
2026-03-08T10:30:00Z,N2EXMIDP,2026-03-08,22,0.0,0.0
2026-03-08T10:00:00Z,APXMIDP,2026-03-08,21,130.54,1008.4
2026-03-08T10:00:00Z,N2EXMIDP,2026-03-08,21,0.0,0.0
2026-03-08T09:30:00Z,APXMIDP,2026-03-08,20,130.64,1040.75
2026-03-08T09:30:00Z,N2EXMIDP,2026-03-08,20,0.0,0.0
2026-03-08T09:00:00Z,APXMIDP,2026-03-08,19,129.45,1160.7
2026-03-08T09:00:00Z,N2EXMIDP,2026-03-08,19,0.0,0.0
2026-03-08T08:30:00Z,APXMIDP,2026-03-08,18,118.2,1842.1
2026-03-08T08:30:00Z,N2EXMIDP,2026-03-08,18,0.0,0.0
2026-03-08T08:00:00Z,APXMIDP,2026-03-08,17,111.85,1761.7
2026-03-08T08:00:00Z,N2EXMIDP,2026-03-08,17,0.0,0.0
2026-03-08T07:30:00Z,APXMIDP,2026-03-08,16,111.01,2072.9
2026-03-08T07:30:00Z,N2EXMIDP,2026-03-08,16,0.0,0.0
2026-03-08T07:00:00Z,APXMIDP,2026-03-08,15,108.32,1609.55
2026-03-08T07:00:00Z,N2EXMIDP,2026-03-08,15,0.0,0.0
2026-03-08T06:30:00Z,APXMIDP,2026-03-08,14,111.17,2565.5
2026-03-08T06:30:00Z,N2EXMIDP,2026-03-08,14,0.0,0.0
2026-03-08T06:00:00Z,APXMIDP,2026-03-08,13,110.46,2484.1
2026-03-08T06:00:00Z,N2EXMIDP,2026-03-08,13,0.0,0.0
2026-03-08T05:30:00Z,APXMIDP,2026-03-08,12,113.65,1939.95
2026-03-08T05:30:00Z,N2EXMIDP,2026-03-08,12,0.0,0.0
2026-03-08T05:00:00Z,APXMIDP,2026-03-08,11,113.35,1954.55
2026-03-08T05:00:00Z,N2EXMIDP,2026-03-08,11,0.0,0.0
2026-03-08T04:30:00Z,APXMIDP,2026-03-08,10,112.49,2102.15
2026-03-08T04:30:00Z,N2EXMIDP,2026-03-08,10,0.0,0.0
2026-03-08T04:00:00Z,APXMIDP,2026-03-08,9,105.5,1702.8
2026-03-08T04:00:00Z,N2EXMIDP,2026-03-08,9,0.0,0.0
2026-03-08T03:30:00Z,APXMIDP,2026-03-08,8,107.16,1751.95
2026-03-08T03:30:00Z,N2EXMIDP,2026-03-08,8,0.0,0.0
2026-03-08T03:00:00Z,APXMIDP,2026-03-08,7,108.35,1731.0
2026-03-08T03:00:00Z,N2EXMIDP,2026-03-08,7,0.0,0.0
2026-03-08T02:30:00Z,APXMIDP,2026-03-08,6,110.34,1932.25
2026-03-08T02:30:00Z,N2EXMIDP,2026-03-08,6,0.0,0.0
2026-03-08T02:00:00Z,APXMIDP,2026-03-08,5,112.21,1891.1
2026-03-08T02:00:00Z,N2EXMIDP,2026-03-08,5,0.0,0.0
