StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2026-05-03T11:30:00Z,APXMIDP,2026-05-03,26,101.49,2098.800
2026-05-03T11:30:00Z,N2EXMIDP,2026-05-03,26,0.00,0.000
2026-05-03T11:00:00Z,APXMIDP,2026-05-03,25,98.69,1859.250
2026-05-03T11:00:00Z,N2EXMIDP,2026-05-03,25,0.00,0.000
2026-05-03T10:30:00Z,APXMIDP,2026-05-03,24,97.98,1541.900
2026-05-03T10:30:00Z,N2EXMIDP,2026-05-03,24,0.00,0.000
2026-05-03T10:00:00Z,APXMIDP,2026-05-03,23,98.94,1567.300
2026-05-03T10:00:00Z,N2EXMIDP,2026-05-03,23,0.00,0.000
2026-05-03T09:30:00Z,APXMIDP,2026-05-03,22,103.45,2173.500
2026-05-03T09:30:00Z,N2EXMIDP,2026-05-03,22,0.00,0.000
2026-05-03T09:00:00Z,APXMIDP,2026-05-03,21,103.94,1702.500
2026-05-03T09:00:00Z,N2EXMIDP,2026-05-03,21,0.00,0.000
2026-05-03T08:30:00Z,APXMIDP,2026-05-03,20,105.59,1549.100
2026-05-03T08:30:00Z,N2EXMIDP,2026-05-03,20,0.00,0.000
2026-05-03T08:00:00Z,APXMIDP,2026-05-03,19,104.77,1779.700
2026-05-03T08:00:00Z,N2EXMIDP,2026-05-03,19,0.00,0.000
2026-05-03T07:30:00Z,APXMIDP,2026-05-03,18,106.45,1579.250
2026-05-03T07:30:00Z,N2EXMIDP,2026-05-03,18,0.00,0.000
2026-05-03T07:00:00Z,APXMIDP,2026-05-03,17,104.03,1793.850
2026-05-03T07:00:00Z,N2EXMIDP,2026-05-03,17,0.00,0.000
2026-05-03T06:30:00Z,APXMIDP,2026-05-03,16,105.37,1530.800
2026-05-03T06:30:00Z,N2EXMIDP,2026-05-03,16,0.00,0.000
2026-05-03T06:00:00Z,APXMIDP,2026-05-03,15,102.16,1815.450
2026-05-03T06:00:00Z,N2EXMIDP,2026-05-03,15,0.00,0.000
2026-05-03T05:30:00Z,APXMIDP,2026-05-03,14,103.89,1532.350
2026-05-03T05:30:00Z,N2EXMIDP,2026-05-03,14,0.00,0.000
2026-05-03T05:00:00Z,APXMIDP,2026-05-03,13,104.14,1619.800
2026-05-03T05:00:00Z,N2EXMIDP,2026-05-03,13,0.00,0.000
2026-05-03T04:30:00Z,APXMIDP,2026-05-03,12,102.58,1459.500
2026-05-03T04:30:00Z,N2EXMIDP,2026-05-03,12,0.00,0.000
2026-05-03T04:00:00Z,APXMIDP,2026-05-03,11,102.87,1361.200
2026-05-03T04:00:00Z,N2EXMIDP,2026-05-03,11,0.00,0.000
2026-05-03T03:30:00Z,APXMIDP,2026-05-03,10,101.70,1404.550
2026-05-03T03:30:00Z,N2EXMIDP,2026-05-03,10,0.00,0.000
2026-05-03T03:00:00Z,APXMIDP,2026-05-03,9,103.29,1351.350
2026-05-03T03:00:00Z,N2EXMIDP,2026-05-03,9,0.00,0.000
2026-05-03T02:30:00Z,APXMIDP,2026-05-03,8,100.75,1206.450
2026-05-03T02:30:00Z,N2EXMIDP,2026-05-03,8,0.00,0.000
2026-05-03T02:00:00Z,APXMIDP,2026-05-03,7,103.30,1152.350
2026-05-03T02:00:00Z,N2EXMIDP,2026-05-03,7,0.00,0.000
2026-05-03T01:30:00Z,APXMIDP,2026-05-03,6,99.97,1438.300
2026-05-03T01:30:00Z,N2EXMIDP,2026-05-03,6,0.00,0.000
2026-05-03T01:00:00Z,APXMIDP,2026-05-03,5,99.35,1422.050
2026-05-03T01:00:00Z,N2EXMIDP,2026-05-03,5,0.00,0.000
