StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2026-06-04T11:30:00Z,APXMIDP,2026-06-04,26,8.82,2494.050
2026-06-04T11:30:00Z,N2EXMIDP,2026-06-04,26,0.00,0.000
2026-06-04T11:00:00Z,APXMIDP,2026-06-04,25,12.22,2330.950
2026-06-04T11:00:00Z,N2EXMIDP,2026-06-04,25,0.00,0.000
2026-06-04T10:30:00Z,APXMIDP,2026-06-04,24,18.47,2829.300
2026-06-04T10:30:00Z,N2EXMIDP,2026-06-04,24,0.00,0.000
2026-06-04T10:00:00Z,APXMIDP,2026-06-04,23,22.04,2924.850
2026-06-04T10:00:00Z,N2EXMIDP,2026-06-04,23,0.00,0.000
2026-06-04T09:30:00Z,APXMIDP,2026-06-04,22,42.35,3063.900
2026-06-04T09:30:00Z,N2EXMIDP,2026-06-04,22,0.00,0.000
2026-06-04T09:00:00Z,APXMIDP,2026-06-04,21,53.92,2566.700
2026-06-04T09:00:00Z,N2EXMIDP,2026-06-04,21,0.00,0.000
2026-06-04T08:30:00Z,APXMIDP,2026-06-04,20,52.91,2610.850
2026-06-04T08:30:00Z,N2EXMIDP,2026-06-04,20,0.00,0.000
2026-06-04T08:00:00Z,APXMIDP,2026-06-04,19,59.11,2796.600
2026-06-04T08:00:00Z,N2EXMIDP,2026-06-04,19,0.00,0.000
2026-06-04T07:30:00Z,APXMIDP,2026-06-04,18,60.15,2594.750
2026-06-04T07:30:00Z,N2EXMIDP,2026-06-04,18,0.00,0.000
2026-06-04T07:00:00Z,APXMIDP,2026-06-04,17,66.49,2524.950
2026-06-04T07:00:00Z,N2EXMIDP,2026-06-04,17,0.00,0.000
2026-06-04T06:30:00Z,APXMIDP,2026-06-04,16,66.98,2430.950
2026-06-04T06:30:00Z,N2EXMIDP,2026-06-04,16,0.00,0.000
2026-06-04T06:00:00Z,APXMIDP,2026-06-04,15,68.22,2350.050
2026-06-04T06:00:00Z,N2EXMIDP,2026-06-04,15,0.00,0.000
2026-06-04T05:30:00Z,APXMIDP,2026-06-04,14,56.28,2482.400
2026-06-04T05:30:00Z,N2EXMIDP,2026-06-04,14,0.00,0.000
2026-06-04T05:00:00Z,APXMIDP,2026-06-04,13,22.84,2787.050
2026-06-04T05:00:00Z,N2EXMIDP,2026-06-04,13,0.00,0.000
2026-06-04T04:30:00Z,APXMIDP,2026-06-04,12,27.22,2164.750
2026-06-04T04:30:00Z,N2EXMIDP,2026-06-04,12,0.00,0.000
2026-06-04T04:00:00Z,APXMIDP,2026-06-04,11,18.35,2195.700
2026-06-04T04:00:00Z,N2EXMIDP,2026-06-04,11,0.00,0.000
2026-06-04T03:30:00Z,APXMIDP,2026-06-04,10,14.55,1922.750
2026-06-04T03:30:00Z,N2EXMIDP,2026-06-04,10,0.00,0.000
2026-06-04T03:00:00Z,APXMIDP,2026-06-04,9,11.97,1769.900
2026-06-04T03:00:00Z,N2EXMIDP,2026-06-04,9,0.00,0.000
2026-06-04T02:30:00Z,APXMIDP,2026-06-04,8,11.03,1944.300
2026-06-04T02:30:00Z,N2EXMIDP,2026-06-04,8,0.00,0.000
2026-06-04T02:00:00Z,APXMIDP,2026-06-04,7,13.19,2203.700
2026-06-04T02:00:00Z,N2EXMIDP,2026-06-04,7,0.00,0.000
2026-06-04T01:30:00Z,APXMIDP,2026-06-04,6,15.62,2349.650
2026-06-04T01:30:00Z,N2EXMIDP,2026-06-04,6,0.00,0.000
2026-06-04T01:00:00Z,APXMIDP,2026-06-04,5,21.83,1984.600
2026-06-04T01:00:00Z,N2EXMIDP,2026-06-04,5,0.00,0.000
2026-06-04T00:30:00Z,APXMIDP,2026-06-04,4,30.90,2067.500
2026-06-04T00:30:00Z,N2EXMIDP,2026-06-04,4,0.00,0.000
2026-06-04T00:00:00Z,APXMIDP,2026-06-04,3,35.37,2146.150
2026-06-04T00:00:00Z,N2EXMIDP,2026-06-04,3,0.00,0.000
2026-06-03T23:30:00Z,APXMIDP,2026-06-04,2,42.81,2426.000
2026-06-03T23:30:00Z,N2EXMIDP,2026-06-04,2,0.00,0.000
2026-06-03T23:00:00Z,APXMIDP,2026-06-04,1,46.82,2244.700
2026-06-03T23:00:00Z,N2EXMIDP,2026-06-04,1,0.00,0.000
2026-06-03T22:30:00Z,APXMIDP,2026-06-03,48,52.26,2289.550
2026-06-03T22:30:00Z,N2EXMIDP,2026-06-03,48,0.00,0.000
2026-06-03T22:00:00Z,APXMIDP,2026-06-03,47,73.44,2089.800
2026-06-03T22:00:00Z,N2EXMIDP,2026-06-03,47,0.00,0.000
2026-06-03T21:30:00Z,APXMIDP,2026-06-03,46,90.02,2892.350
2026-06-03T21:30:00Z,N2EXMIDP,2026-06-03,46,0.00,0.000
2026-06-03T21:00:00Z,APXMIDP,2026-06-03,45,101.29,2671.500
2026-06-03T21:00:00Z,N2EXMIDP,2026-06-03,45,0.00,0.000
2026-06-03T20:30:00Z,APXMIDP,2026-06-03,44,97.07,2070.150
2026-06-03T20:30:00Z,N2EXMIDP,2026-06-03,44,0.00,0.000
2026-06-03T20:00:00Z,APXMIDP,2026-06-03,43,96.79,2126.300
2026-06-03T20:00:00Z,N2EXMIDP,2026-06-03,43,0.00,0.000
2026-06-03T19:30:00Z,APXMIDP,2026-06-03,42,108.42,3385.750
2026-06-03T19:30:00Z,N2EXMIDP,2026-06-03,42,0.00,0.000
2026-06-03T19:00:00Z,APXMIDP,2026-06-03,41,112.47,3403.050
2026-06-03T19:00:00Z,N2EXMIDP,2026-06-03,41,0.00,0.000
2026-06-03T18:30:00Z,APXMIDP,2026-06-03,40,118.35,2975.850
2026-06-03T18:30:00Z,N2EXMIDP,2026-06-03,40,0.00,0.000
2026-06-03T18:00:00Z,APXMIDP,2026-06-03,39,116.41,3131.300
2026-06-03T18:00:00Z,N2EXMIDP,2026-06-03,39,0.00,0.000
2026-06-03T17:30:00Z,APXMIDP,2026-06-03,38,114.50,3640.000
2026-06-03T17:30:00Z,N2EXMIDP,2026-06-03,38,0.00,0.000
2026-06-03T17:00:00Z,APXMIDP,2026-06-03,37,117.35,3600.750
2026-06-03T17:00:00Z,N2EXMIDP,2026-06-03,37,0.00,0.000
2026-06-03T16:30:00Z,APXMIDP,2026-06-03,36,110.88,3780.000
2026-06-03T16:30:00Z,N2EXMIDP,2026-06-03,36,0.00,0.000
2026-06-03T16:00:00Z,APXMIDP,2026-06-03,35,113.86,3594.850
2026-06-03T16:00:00Z,N2EXMIDP,2026-06-03,35,0.00,0.000
2026-06-03T15:30:00Z,APXMIDP,2026-06-03,34,85.85,4377.050
2026-06-03T15:30:00Z,N2EXMIDP,2026-06-03,34,0.00,0.000
2026-06-03T15:00:00Z,APXMIDP,2026-06-03,33,69.12,3680.250
2026-06-03T15:00:00Z,N2EXMIDP,2026-06-03,33,0.00,0.000
2026-06-03T14:30:00Z,APXMIDP,2026-06-03,32,57.56,4059.900
2026-06-03T14:30:00Z,N2EXMIDP,2026-06-03,32,0.00,0.000
2026-06-03T14:00:00Z,APXMIDP,2026-06-03,31,52.10,4574.800
2026-06-03T14:00:00Z,N2EXMIDP,2026-06-03,31,0.00,0.000
2026-06-03T13:30:00Z,APXMIDP,2026-06-03,30,28.60,5990.050
2026-06-03T13:30:00Z,N2EXMIDP,2026-06-03,30,0.00,0.000
2026-06-03T13:00:00Z,APXMIDP,2026-06-03,29,28.74,5543.100
2026-06-03T13:00:00Z,N2EXMIDP,2026-06-03,29,0.00,0.000
2026-06-03T12:30:00Z,APXMIDP,2026-06-03,28,21.71,4762.250
2026-06-03T12:30:00Z,N2EXMIDP,2026-06-03,28,0.00,0.000
2026-06-03T12:00:00Z,APXMIDP,2026-06-03,27,34.06,4206.150
2026-06-03T12:00:00Z,N2EXMIDP,2026-06-03,27,0.00,0.000
2026-06-03T11:30:00Z,APXMIDP,2026-06-03,26,63.18,4710.650
2026-06-03T11:30:00Z,N2EXMIDP,2026-06-03,26,0.00,0.000
2026-06-03T11:00:00Z,APXMIDP,2026-06-03,25,76.28,4527.050
2026-06-03T11:00:00Z,N2EXMIDP,2026-06-03,25,0.00,0.000
2026-06-03T10:30:00Z,APXMIDP,2026-06-03,24,91.08,4076.250
2026-06-03T10:30:00Z,N2EXMIDP,2026-06-03,24,0.00,0.000
2026-06-03T10:00:00Z,APXMIDP,2026-06-03,23,99.18,3688.350
2026-06-03T10:00:00Z,N2EXMIDP,2026-06-03,23,0.00,0.000
2026-06-03T09:30:00Z,APXMIDP,2026-06-03,22,100.55,4085.500
2026-06-03T09:30:00Z,N2EXMIDP,2026-06-03,22,0.00,0.000
2026-06-03T09:00:00Z,APXMIDP,2026-06-03,21,109.24,3411.850
2026-06-03T09:00:00Z,N2EXMIDP,2026-06-03,21,0.00,0.000
2026-06-03T08:30:00Z,APXMIDP,2026-06-03,20,110.43,2720.950
2026-06-03T08:30:00Z,N2EXMIDP,2026-06-03,20,0.00,0.000
2026-06-03T08:00:00Z,APXMIDP,2026-06-03,19,122.95,3486.400
2026-06-03T08:00:00Z,N2EXMIDP,2026-06-03,19,0.00,0.000
2026-06-03T07:30:00Z,APXMIDP,2026-06-03,18,132.43,2594.300
